gene	Cardiomyocyte	Chondrocyte	Choroid plexus	Dorsal midbrain neuron	Endothelial cell	Epithelial cell	Erythrocyte	Facial fibroblast	Fibroblast	Forebrain neuron	Forebrain radial glia cell	Ganglion	Hepatocyte	Immune cell	Keratinocyte	Limb fibroblast	Macrophage	Meninges cell	Mid-/hindbrain and spinal cord neuron	Myoblast	Olfactory epithelial cell	Radial glia cell	Smooth muscle cell	Spinal cord neuron	Thalamus neuron
1110017D15Rik	2.2184e-05	3.85249e-05	0.00114694	7.6892e-05	3.03385e-05	0.000197984	1.55107e-05	3.15619e-05	2.6332e-05	2.75204e-05	8.96659e-05	7.61119e-05	6.70908e-06	1.94002e-05	4.09575e-05	1.63542e-05	3.18519e-05	5.33999e-05	7.03981e-05	1.6275e-05	0.000507863	0.000212718	3.55144e-05	8.03473e-05	6.20674e-05
1110035H17Rik	3.20423e-06	2.44033e-06	0	9.53176e-06	1.08817e-05	8.86296e-06	9.10214e-07	0	5.27381e-06	1.70338e-06	3.30602e-06	9.20392e-06	2.30272e-07	0	0	3.00921e-06	4.15753e-06	1.75818e-06	3.95376e-06	2.83955e-06	1.58776e-05	9.9374e-06	3.09135e-06	5.25019e-06	3.90238e-06
1190001M18Rik	2.13872e-06	2.80899e-06	0	4.71105e-06	9.66375e-06	1.5002e-05	1.56154e-06	9.13243e-06	9.57317e-06	5.86086e-07	9.28661e-06	4.40705e-06	0	2.39887e-06	8.68936e-06	4.37103e-06	6.59908e-06	3.62429e-06	4.6737e-07	4.67287e-06	6.71028e-06	1.56198e-06	7.55265e-06	3.07495e-06	0
1300014J16Rik	3.15103e-06	4.73287e-06	0	4.14297e-06	9.97034e-07	7.47446e-06	1.04079e-06	1.90732e-06	3.06397e-06	1.62026e-06	4.48509e-06	8.37375e-06	1.33491e-07	6.10873e-06	7.90812e-06	1.14318e-05	1.12079e-06	1.45058e-06	1.66928e-06	5.07989e-06	2.12762e-05	4.59479e-06	6.14326e-07	9.77988e-07	2.0355e-06
1500015O10Rik	6.91401e-05	0.00088381	0.00306107	7.45092e-05	0.000353074	0.000340314	0.000132704	0.000252114	0.000920294	9.52347e-05	0.000201535	0.000182811	4.22023e-05	0.000259906	0.000187433	0.000830574	0.000482272	0.000986723	8.35103e-05	0.000159533	0.000135054	0.000478801	0.000256983	7.63998e-05	5.5374e-05
1700007K13Rik	3.43511e-06	8.43487e-06	0.00026695	3.552e-06	8.93519e-06	9.52749e-05	2.39572e-06	2.90097e-05	9.43396e-06	1.2984e-05	1.8502e-05	2.58994e-05	2.39558e-06	2.2039e-06	1.62255e-05	5.45586e-06	1.67203e-05	2.80542e-05	1.85907e-05	4.07784e-06	0.000168879	0.00022823	1.45592e-05	1.45707e-05	0
1700011H14Rik	2.02483e-06	1.47157e-05	7.84775e-05	1.0594e-05	2.37847e-05	0.000160986	7.37264e-06	1.1082e-05	9.84295e-06	5.72243e-06	9.61687e-06	1.89953e-05	3.80254e-06	1.02797e-05	1.3416e-05	1.01971e-05	1.87992e-05	8.83348e-06	6.5321e-06	8.71206e-06	1.98446e-05	9.0444e-05	2.20766e-05	1.8355e-06	9.7133e-06
1700012B09Rik	1.81079e-06	1.19481e-05	0.000737516	0	9.46596e-06	0.000139118	5.6264e-06	1.23734e-05	1.31876e-05	1.64994e-05	1.63221e-05	9.77837e-06	3.13346e-06	5.17885e-06	1.15605e-05	5.01194e-06	1.44914e-05	1.8927e-05	4.52458e-06	3.75209e-06	0.000218588	9.73433e-05	2.42117e-05	8.2649e-06	0
1700013F07Rik	0	8.56725e-06	7.91123e-05	6.75066e-06	3.72352e-06	2.00529e-05	1.05112e-06	0	3.83745e-06	6.20731e-06	4.26791e-06	1.30748e-06	3.03246e-07	0	2.59086e-06	2.63839e-06	5.94701e-06	3.53356e-06	4.65425e-06	3.38705e-06	2.75483e-06	1.17635e-05	2.28189e-06	5.87408e-06	6.00337e-06
1700016K19Rik	3.32645e-06	1.146e-05	0.000357091	1.86583e-05	1.77578e-05	0.000143491	3.62305e-06	1.11439e-05	1.40125e-05	6.83353e-06	1.2129e-05	2.18518e-05	2.14673e-06	5.23329e-06	1.87602e-05	2.75941e-06	8.05543e-06	1.40144e-05	1.55847e-05	5.30017e-06	7.60225e-05	5.98522e-05	1.88655e-05	3.92098e-06	1.7261e-05
1700017G19Rik	8.4262e-07	9.73894e-06	0	1.29346e-06	6.32296e-06	4.41536e-06	1.8386e-06	8.8812e-07	7.2391e-06	1.82346e-06	0	1.29242e-06	0	0	0	1.15649e-05	1.08347e-05	1.50462e-05	1.72757e-06	4.86207e-07	0	0	8.47883e-07	0	5.19175e-06
1700019A02Rik	9.63498e-06	9.92413e-06	0	5.55554e-06	3.9644e-06	1.47424e-05	1.32009e-06	9.76574e-06	9.43238e-06	1.1433e-05	1.03287e-05	1.48867e-05	3.83062e-07	2.09993e-06	8.29591e-06	2.67568e-05	1.04519e-05	1.69442e-05	1.22203e-05	1.0901e-05	1.24439e-05	1.35227e-05	8.68889e-06	1.30393e-05	2.21097e-06
1700042O10Rik	1.42771e-05	4.76522e-06	0	0	1.04174e-06	6.46345e-06	1.0119e-06	1.32008e-05	2.32496e-05	9.78585e-07	1.22687e-05	0	8.06624e-07	0	1.83698e-06	2.9288e-06	8.57306e-06	1.14467e-05	3.65144e-06	1.75894e-05	9.51832e-06	1.64305e-06	4.87034e-06	0	3.00131e-06
1700094M23Rik	0	0	0	7.39056e-06	4.29649e-06	2.49996e-06	3.76181e-07	1.31043e-05	3.93308e-06	6.84421e-06	0	4.84177e-06	3.88657e-07	0	3.29786e-06	5.47018e-06	3.65103e-06	7.76552e-06	5.43226e-06	1.60293e-06	1.3678e-05	1.26527e-06	3.48614e-06	0	7.20734e-06
1700095J03Rik	0	5.14014e-06	1.23735e-05	2.56831e-05	2.48824e-06	8.09046e-06	5.39152e-07	5.82206e-06	6.18689e-06	7.92073e-06	3.1939e-05	1.77757e-05	1.30436e-07	4.51847e-06	3.82746e-06	4.96265e-06	1.79291e-06	7.42431e-07	2.19846e-05	5.21234e-06	5.89792e-05	4.67799e-05	2.09278e-06	1.96176e-05	3.15915e-05
1700105P06Rik	3.48053e-06	4.74246e-06	0	2.16462e-05	0	2.11162e-06	7.58278e-07	8.72078e-07	4.4474e-06	3.08871e-06	1.22939e-05	9.26793e-06	8.05946e-07	0	0	2.88831e-06	4.75016e-06	1.64486e-06	7.82618e-06	4.65156e-06	4.23034e-05	1.13305e-05	3.12804e-06	5.4209e-06	3.29233e-06
1810020O05Rik	1.87483e-06	1.51279e-06	8.00592e-06	2.60191e-06	6.34102e-07	4.38786e-06	1.52405e-06	3.42388e-06	5.65619e-06	2.5972e-06	5.23302e-06	1.25762e-05	1.05313e-06	1.84278e-06	1.78756e-06	1.63591e-06	1.90383e-06	8.7171e-06	1.10176e-05	2.42795e-06	6.95603e-05	0.000115312	0	3.02631e-06	5.09634e-06
1810062G17Rik	8.48952e-06	1.93775e-05	0	1.40296e-06	9.67215e-06	1.29215e-05	3.67021e-06	1.23491e-05	8.43786e-06	0	5.07758e-06	5.25343e-06	2.21817e-06	7.02487e-06	1.09849e-05	4.14458e-06	7.53642e-06	3.42533e-05	2.04723e-06	9.04221e-06	3.58977e-05	8.38412e-06	1.26648e-05	9.52657e-07	1.48939e-06
2010007H06Rik	5.63576e-07	6.2156e-06	1.35161e-05	0	9.97409e-06	3.2369e-05	2.7092e-06	1.04207e-05	1.03417e-05	0	6.27855e-06	6.1068e-06	7.9583e-07	2.2693e-06	0	8.05764e-06	3.68901e-06	4.00153e-06	1.21439e-06	3.80229e-06	0.000167196	2.14432e-05	5.38539e-06	5.13331e-06	0
2210011C24Rik	0	1.10504e-06	3.2041e-05	0	7.7324e-06	1.61994e-05	1.37049e-06	8.54738e-07	1.90756e-06	0	2.23443e-06	4.85839e-06	6.42384e-07	0	5.63163e-06	7.86032e-07	9.25117e-06	7.07383e-07	3.53416e-06	8.25225e-06	1.76604e-05	3.66485e-06	1.30541e-06	0	3.3278e-06
2310005E17Rik	0	8.35359e-06	0	0	3.75928e-06	1.87339e-06	2.63463e-06	4.78797e-06	6.8385e-06	0	0	1.18333e-06	0	2.19922e-06	0	5.43955e-06	7.95021e-06	2.68679e-05	7.01734e-07	5.64569e-07	0	0	2.83134e-06	5.28283e-06	0
2310031A07Rik	2.7698e-06	1.26418e-05	0	1.06644e-05	1.167e-05	1.72912e-05	1.01641e-06	1.18596e-05	9.11097e-06	1.07176e-05	8.6857e-06	1.15834e-05	1.68198e-06	3.08932e-06	1.05323e-05	1.08941e-05	1.12831e-05	8.73523e-06	1.45768e-05	4.83134e-06	0	1.52627e-05	1.28666e-05	1.43767e-05	1.94805e-05
2310047D07Rik	4.65967e-06	4.20896e-06	5.05075e-06	4.77086e-06	1.66366e-06	8.1986e-06	9.21975e-07	3.29052e-06	2.19233e-06	1.57988e-06	1.65579e-06	2.88818e-06	2.07217e-07	1.03415e-06	3.3377e-06	7.06718e-06	3.20809e-06	1.08472e-06	4.10264e-06	4.59096e-06	1.27645e-05	7.15066e-06	1.44421e-06	2.81362e-06	4.6214e-06
2410004P03Rik	0	7.57527e-06	0.000363389	4.52939e-06	1.122e-05	4.00005e-05	4.04703e-06	6.88606e-07	8.74946e-06	2.63407e-06	1.17525e-05	6.4711e-06	1.93489e-06	1.30171e-06	3.91815e-06	4.00758e-06	1.48233e-05	9.45418e-06	5.52854e-06	5.42713e-06	5.63473e-05	0.000115865	1.06754e-05	6.94588e-06	6.38678e-06
2610027F03Rik	0	8.08622e-06	0	3.89365e-05	2.57287e-06	8.90376e-06	1.19075e-06	3.15017e-06	4.76558e-06	6.80053e-06	2.70159e-05	1.0125e-05	7.73951e-07	1.09189e-05	7.23536e-06	1.33958e-06	3.62743e-06	9.05987e-06	1.09375e-05	4.82581e-06	2.1794e-05	7.22375e-05	1.9476e-06	3.85658e-06	0
2700046A07Rik	1.05927e-05	3.72863e-06	1.14546e-05	9.62454e-06	1.13351e-05	8.40589e-06	6.79145e-06	9.32103e-06	5.2144e-06	1.98074e-05	2.99132e-05	1.58291e-05	1.79665e-06	5.54536e-06	8.69416e-07	4.53888e-06	1.22664e-05	2.5241e-05	2.82681e-06	3.33446e-06	0	6.3555e-05	1.42771e-05	7.93059e-06	5.9285e-06
2810414N06Rik	5.31486e-06	2.28212e-06	0	2.86051e-05	1.11362e-05	9.42722e-06	2.63797e-06	3.04254e-06	9.93325e-06	7.83948e-06	7.55562e-06	4.01654e-06	1.47531e-06	1.70134e-06	1.1045e-05	7.8724e-06	1.41913e-05	8.16276e-06	5.50584e-06	7.81716e-06	8.32551e-06	1.69135e-05	6.60449e-06	7.75254e-06	0
2900055J20Rik	7.21088e-07	1.06541e-05	0	6.33544e-06	7.71131e-06	8.8142e-06	3.02245e-06	1.05478e-05	1.12398e-05	9.76648e-06	7.31395e-06	5.18467e-05	3.11688e-07	0	1.51642e-06	1.76949e-05	8.40609e-06	7.89824e-06	6.63898e-05	2.05613e-06	9.73546e-05	2.86576e-05	0	4.78677e-05	2.54002e-05
3222401L13Rik	2.63522e-05	1.29764e-05	2.2958e-05	6.24911e-05	1.83117e-05	1.38941e-05	3.06646e-06	1.84208e-05	2.13601e-05	3.10803e-05	6.79045e-05	1.45436e-05	1.12558e-06	3.30702e-06	3.22317e-06	1.02774e-05	5.55465e-06	1.38796e-05	1.82424e-05	1.61653e-05	4.44479e-06	5.12409e-05	1.94766e-05	2.98217e-05	9.80092e-06
